Datetime,Winner,Loser
2019-03-21 12:15:00,Minnesota,Louisville
2019-03-21 12:40:00,LSU,Yale
2019-03-21 13:30:00,Auburn,New Mexico St.
2019-03-21 14:00:00,Florida St.,Vermont
2019-03-21 14:45:00,Michigan St.,Bradley
2019-03-21 15:10:00,Maryland,Belmont
2019-03-21 16:00:00,Kansas,Northeastern
2019-03-21 16:30:00,Murray St.,Marquette
2019-03-21 18:50:00,Florida,Nevada
2019-03-21 19:10:00,Kentucky,Abilene Christian
2019-03-21 19:20:00,Villanova,Saint Mary's
2019-03-21 19:27:00,Gonzaga,Fairleigh Dickinson
2019-03-21 21:20:00,Michigan,Montana
2019-03-21 21:40:00,Wofford,Seton Hall
2019-03-21 21:50:00,Purdue,Old Dominion
2019-03-21 21:57:00,Baylor,Syracuse
2019-03-22 12:15:00,Iowa,Cincinnati
2019-03-22 12:40:00,Oklahoma,Mississippi
2019-03-22 13:30:00,Texas Tech,Northern Kentucky
2019-03-22 14:00:00,UC Irvine,Kansas St.
2019-03-22 14:45:00,Tennessee,Colgate
2019-03-22 15:10:00,Virginia,Gardner Webb
2019-03-22 16:00:00,Buffalo,Arizona St.
2019-03-22 16:30:00,Oregon,Wisconsin
2019-03-22 18:50:00,Washington,Utah St.
2019-03-22 19:10:00,Duke,North Dakota St.
2019-03-22 19:20:00,Houston,Georgia St.
2019-03-22 19:27:00,Liberty,Mississippi St.
2019-03-22 21:20:00,North Carolina,Iona
2019-03-22 21:40:00,UCF,VCU
2019-03-22 21:50:00,Ohio St.,Iowa St.
2019-03-22 21:57:00,Virginia Tech,Saint Louis
2019-03-23 12:10:00,LSU,Maryland
2019-03-23 14:40:00,Kentucky,Wofford
2019-03-23 17:15:00,Michigan,Florida
2019-03-23 18:10:00,Florida St.,Murray St.
2019-03-23 19:10:00,Gonzaga,Baylor
2019-03-23 19:45:00,Michigan St.,Minnesota
2019-03-23 20:40:00,Purdue,Villanova
2019-03-23 21:40:00,Auburn,Kansas
2019-03-24 12:10:00,Tennessee,Iowa
2019-03-24 14:40:00,North Carolina,Washington
2019-03-24 17:15:00,Duke,UCF
2019-03-24 18:10:00,Texas Tech,Buffalo
2019-03-24 19:10:00,Virginia Tech,Liberty
2019-03-24 19:45:00,Virginia,Oklahoma
2019-03-24 20:40:00,Houston,Ohio St.
2019-03-24 21:40:00,Oregon,UC Irvine
2019-03-28 19:09:00,Gonzaga,Florida St.
2019-03-28 19:29:00,Purdue,Tennessee
2019-03-28 21:39:00,Texas Tech,Michigan
2019-03-28 21:57:00,Virginia,Oregon
2019-03-29 19:09:00,Michigan St.,LSU
2019-03-29 19:29:00,Auburn,North Carolina
2019-03-29 21:39:00,Duke,Virginia Tech
2019-03-29 21:59:00,Kentucky,Houston
2019-03-30 18:09:00,Texas Tech,Gonzaga
2019-03-30 20:49:00,Virginia,Purdue
2019-03-31 14:20:00,Auburn,Kentucky
2019-03-31 17:05:00,Michigan St.,Duke
2019-04-06 18:09:00,Virginia,Auburn
2019-04-06 20:49:00,Texas Tech,Michigan St.
2019-04-08 21:20:00,Virginia,Texas Tech
