3/13/2012,BYU,Iona,"W, 78-72"
3/13/2012,Western Kentucky,Mississippi Valley S,"W, 59-58"
3/14/2012,South Florida,California,"W, 65-54"
3/14/2012,Vermont,Lamar,"W, 71-59"
3/15/2012,Iowa St.,Connecticut,"W, 77-64"
3/15/2012,Gonzaga,West Virginia,"W, 77-54"
3/15/2012,Wisconsin,Montana,"W, 73-49"
3/15/2012,Vanderbilt,Harvard,"W, 79-70"
3/15/2012,Indiana,New Mexico St.,"W, 79-66"
3/15/2012,Kentucky,Western Kentucky,"W, 81-66"
3/15/2012,Marquette,BYU,"W, 88-68"
3/15/2012,Syracuse,UNC Asheville,"W, 72-65"
3/15/2012,New Mexico,Long Beach St.,"W, 75-68"
3/15/2012,Ohio St.,Loyola MD,"W, 78-59"
3/15/2012,Kansas St.,Southern Miss,"W, 70-64"
3/15/2012,Baylor,South Dakota St.,"W, 68-60"
3/15/2012,Louisville,Davidson,"W, 69-62"
3/15/2012,VCU,Wichita St.,"W, 62-59"
3/15/2012,Colorado,UNLV,"W, 68-64"
3/15/2012,Murray St.,Colorado St.,"W, 58-41"
3/16/2012,Norfolk St.,Missouri,"W, 86-84"
3/16/2012,Georgetown,Belmont,"W, 74-59"
3/16/2012,Ohio,Michigan,"W, 65-60"
3/16/2012,Florida,Virginia,"W, 71-45"
3/16/2012,Xavier,Notre Dame,"W, 67-63"
3/16/2012,North Carolina St.,San Diego St.,"W, 79-65"
3/16/2012,Michigan St.,LIU Brooklyn,"W, 89-67"
3/16/2012,Creighton,Alabama,"W, 58-57"
3/16/2012,Lehigh,Duke,"W, 75-70"
3/16/2012,Cincinnati,Texas,"W, 65-59"
3/16/2012,Purdue,Saint Mary's,"W, 72-69"
3/16/2012,Florida St.,St. Bonaventure,"W, 66-63"
3/16/2012,North Carolina,Vermont,"W, 77-58"
3/16/2012,Saint Louis,Memphis,"W, 61-54"
3/16/2012,South Florida,Temple,"W, 58-44"
3/16/2012,Kansas,Detroit,"W, 65-50"
3/17/2012,Kentucky,Iowa St.,"W, 87-71"
3/17/2012,Baylor,Colorado,"W, 80-63"
3/17/2012,Syracuse,Kansas St.,"W, 75-59"
3/17/2012,Ohio St.,Gonzaga,"W, 73-66"
3/17/2012,Wisconsin,Vanderbilt,"W, 60-57"
3/17/2012,Louisville,New Mexico,"W, 59-56"
3/17/2012,Indiana,VCU,"W, 63-61"
3/17/2012,Marquette,Murray St.,"W, 62-53"
3/18/2012,Florida,Norfolk St.,"W, 84-50"
3/18/2012,Michigan St.,Saint Louis,"W, 65-61"
3/18/2012,Ohio,South Florida,"W, 62-56"
3/18/2012,North Carolina,Creighton,"W, 87-73"
3/18/2012,North Carolina St.,Georgetown,"W, 66-63"
3/18/2012,Kansas,Purdue,"W, 63-60"
3/18/2012,Cincinnati,Florida St.,"W, 62-56"
3/18/2012,Xavier,Lehigh,"W, 70-58"
3/22/2012,Syracuse,Wisconsin,"W, 64-63"
3/22/2012,Ohio St.,Cincinnati,"W, 81-66"
3/22/2012,Florida,Marquette,"W, 68-58"
3/22/2012,Louisville,Michigan St.,"W, 57-44"
3/23/2012,Kentucky,Indiana,"W, 102-90"
3/23/2012,Baylor,Xavier,"W, 75-70"
3/23/2012,North Carolina,Ohio,"W, 73-65"
3/23/2012,Kansas,North Carolina St.,"W, 60-57"
3/24/2012,Ohio St.,Syracuse,"W, 77-70"
3/24/2012,Louisville,Florida,"W, 72-68"
3/25/2012,Kentucky,Baylor,"W, 82-70"
3/25/2012,Kansas,North Carolina,"W, 80-67"
3/31/2012,Kentucky,Louisville,"W, 69-61"
3/31/2012,Kansas,Ohio St.,"W, 64-62"
4/2/2012,Kentucky,Kansas,"W, 67-59"
