3/14/2017,Kansas St.,Wake Forest,"W, 95-88"
3/14/2017,Mount St. Mary's,New Orleans,"W, 67-66"
3/15/2017,USC,Providence,"W, 75-71"
3/15/2017,UC Davis,North Carolina Centr,"W, 67-63"
3/16/2017,Arizona,North Dakota,"W, 100-82"
3/16/2017,Middle Tennessee,Minnesota,"W, 81-72"
3/16/2017,Wisconsin,Virginia Tech,"W, 84-74"
3/16/2017,Saint Mary's,VCU,"W, 85-77"
3/16/2017,Iowa St.,Nevada,"W, 84-73"
3/16/2017,Purdue,Vermont,"W, 80-70"
3/16/2017,West Virginia,Bucknell,"W, 86-80"
3/16/2017,Florida,East Tennessee St.,"W, 80-65"
3/16/2017,Xavier,Maryland,"W, 76-65"
3/16/2017,Northwestern,Vanderbilt,"W, 68-66"
3/16/2017,Villanova,Mount St. Mary's,"W, 76-56"
3/16/2017,Virginia,UNC Wilmington,"W, 76-71"
3/16/2017,Butler,Winthrop,"W, 76-64"
3/16/2017,Notre Dame,Princeton,"W, 60-58"
3/16/2017,Florida St.,Florida Gulf Coast,"W, 86-80"
3/16/2017,Gonzaga,South Dakota St.,"W, 66-46"
3/17/2017,Michigan,Oklahoma St.,"W, 92-91"
3/17/2017,Cincinnati,Kansas St.,"W, 75-61"
3/17/2017,UCLA,Kent St.,"W, 97-80"
3/17/2017,Michigan St.,Miami FL,"W, 78-58"
3/17/2017,Oregon,Iona,"W, 93-77"
3/17/2017,Kansas,UC Davis,"W, 100-62"
3/17/2017,North Carolina,Texas Southern,"W, 103-64"
3/17/2017,Louisville,Jacksonville St.,"W, 78-63"
3/17/2017,Rhode Island,Creighton,"W, 84-72"
3/17/2017,Baylor,New Mexico St.,"W, 91-73"
3/17/2017,South Carolina,Marquette,"W, 93-73"
3/17/2017,Duke,Troy,"W, 87-65"
3/17/2017,USC,SMU,"W, 66-65"
3/17/2017,Arkansas,Seton Hall,"W, 77-71"
3/17/2017,Kentucky,Northern Kentucky,"W, 79-70"
3/17/2017,Wichita St.,Dayton,"W, 64-58"
3/18/2017,Xavier,Florida St.,"W, 91-66"
3/18/2017,West Virginia,Notre Dame,"W, 83-71"
3/18/2017,Wisconsin,Villanova,"W, 65-62"
3/18/2017,Purdue,Iowa St.,"W, 80-76"
3/18/2017,Florida,Virginia,"W, 65-39"
3/18/2017,Gonzaga,Northwestern,"W, 79-73"
3/18/2017,Butler,Middle Tennessee,"W, 74-65"
3/18/2017,Arizona,Saint Mary's,"W, 69-60"
3/19/2017,UCLA,Cincinnati,"W, 79-67"
3/19/2017,Kansas,Michigan St.,"W, 90-70"
3/19/2017,Michigan,Louisville,"W, 73-69"
3/19/2017,Baylor,USC,"W, 82-78"
3/19/2017,Oregon,Rhode Island,"W, 75-72"
3/19/2017,South Carolina,Duke,"W, 88-81"
3/19/2017,Kentucky,Wichita St.,"W, 65-62"
3/19/2017,North Carolina,Arkansas,"W, 72-65"
3/23/2017,Kansas,Purdue,"W, 98-66"
3/23/2017,Xavier,Arizona,"W, 73-71"
3/23/2017,Oregon,Michigan,"W, 69-68"
3/23/2017,Gonzaga,West Virginia,"W, 61-58"
3/24/2017,North Carolina,Butler,"W, 92-80"
3/24/2017,Kentucky,UCLA,"W, 86-75"
3/24/2017,Florida,Wisconsin,"W, 84-83"
3/24/2017,South Carolina,Baylor,"W, 70-50"
3/25/2017,Oregon,Kansas,"W, 74-60"
3/25/2017,Gonzaga,Xavier,"W, 83-59"
3/26/2017,South Carolina,Florida,"W, 77-70"
3/26/2017,North Carolina,Kentucky,"W, 75-73"
4/1/2017,Gonzaga,South Carolina,"W, 77-73"
4/1/2017,North Carolina,Oregon,"W, 77-76"
4/3/2017,North Carolina,Gonzaga,"W, 71-65"
