Datetime,Winner,Loser
2015-03-19 12:15:00,Notre Dame,Northeastern
2015-03-19 12:40:00,UAB,Iowa St.
2015-03-19 13:40:00,Georgia St.,Baylor
2015-03-19 14:10:00,Arizona,Texas Southern
2015-03-19 14:53:00,Butler,Texas
2015-03-19 15:17:00,UCLA,SMU
2015-03-19 16:23:00,Xavier,Mississippi
2015-03-19 16:53:00,Ohio St.,VCU
2015-03-19 18:50:00,Villanova,Lafayette
2015-03-19 19:10:00,Cincinnati,Purdue
2015-03-19 19:25:00,North Carolina,Harvard
2015-03-19 20:08:00,Utah,Stephen F. Austin
2015-03-19 21:23:00,North Carolina St.,LSU
2015-03-19 21:59:00,Arkansas,Wofford
2015-03-19 22:18:00,Kentucky,Hampton
2015-03-19 22:52:00,Georgetown,Eastern Washington
2015-03-20 12:15:00,Kansas,New Mexico St.
2015-03-20 12:40:00,Michigan St.,Georgia
2015-03-20 13:40:00,Northern Iowa,Wyoming
2015-03-20 14:10:00,West Virginia,Buffalo
2015-03-20 14:52:00,Wichita St.,Indiana
2015-03-20 15:30:00,Virginia,Belmont
2015-03-20 16:21:00,Louisville,UC Irvine
2015-03-20 17:12:00,Maryland,Valparaiso
2015-03-20 18:50:00,Oregon,Oklahoma St.
2015-03-20 19:10:00,Duke,Robert Morris
2015-03-20 19:40:00,Iowa,Davidson
2015-03-20 20:17:00,Oklahoma,Albany
2015-03-20 21:28:00,Wisconsin,Coastal Carolina
2015-03-20 21:42:00,San Diego St.,St. John's
2015-03-20 22:10:00,Gonzaga,North Dakota St.
2015-03-20 22:53:00,Dayton,Providence
2015-03-21 12:10:00,UCLA,UAB
2015-03-21 14:53:00,Kentucky,Cincinnati
2015-03-21 17:15:00,Arizona,Ohio St.
2015-03-21 18:10:00,Xavier,Georgia St.
2015-03-21 19:10:00,North Carolina St.,Villanova
2015-03-21 20:00:00,Utah,Georgetown
2015-03-21 20:50:00,North Carolina,Arkansas
2015-03-21 22:04:00,Notre Dame,Butler
2015-03-22 12:10:00,Michigan St.,Virginia
2015-03-22 14:54:00,Duke,San Diego St.
2015-03-22 17:15:00,Wichita St.,Kansas
2015-03-22 18:10:00,Oklahoma,Dayton
2015-03-22 19:10:00,Gonzaga,Iowa
2015-03-22 20:04:00,Wisconsin,Oregon
2015-03-22 21:01:00,West Virginia,Maryland
2015-03-22 21:40:00,Louisville,Northern Iowa
2015-03-26 19:15:00,Notre Dame,Wichita St.
2015-03-26 19:47:00,Wisconsin,North Carolina
2015-03-26 21:49:00,Kentucky,West Virginia
2015-03-26 22:34:00,Arizona,Xavier
2015-03-27 19:15:00,Gonzaga,UCLA
2015-03-27 19:37:00,Louisville,North Carolina St.
2015-03-27 21:53:00,Duke,Utah
2015-03-27 22:16:00,Michigan St.,Oklahoma
2015-03-28 18:09:00,Wisconsin,Arizona
2015-03-28 20:49:00,Kentucky,Notre Dame
2015-03-29 14:20:00,Michigan St.,Louisville
2015-03-29 17:05:00,Duke,Gonzaga
2015-04-04 18:09:00,Duke,Michigan St.
2015-04-04 21:06:00,Wisconsin,Kentucky
2015-04-06 21:18:00,Duke,Wisconsin
