3/15/2016,Wichita St.,Vanderbilt,"W, 70-50"
3/15/2016,Florida Gulf Coast,Fairleigh Dickinson,"W, 96-65"
3/16/2016,Michigan,Tulsa,"W, 67-62"
3/16/2016,Holy Cross,Southern,"W, 59-55"
3/17/2016,Indiana,Chattanooga,"W, 99-74"
3/17/2016,Duke,UNC Wilmington,"W, 93-85"
3/17/2016,Kansas,Austin Peay,"W, 105-79"
3/17/2016,Utah,Fresno St.,"W, 80-69"
3/17/2016,Iowa St.,Iona,"W, 94-81"
3/17/2016,Virginia,Hampton,"W, 81-45"
3/17/2016,Yale,Baylor,"W, 79-75"
3/17/2016,North Carolina,Florida Gulf Coast,"W, 83-67"
3/17/2016,Kentucky,Stony Brook,"W, 85-57"
3/17/2016,Connecticut,Colorado,"W, 74-67"
3/17/2016,Wichita St.,Arizona,"W, 65-55"
3/17/2016,Providence,USC,"W, 70-69"
3/17/2016,Arkansas Little Rock,Purdue,"W, 85-83"
3/17/2016,Butler,Texas Tech,"W, 71-61"
3/17/2016,Miami FL,Buffalo,"W, 79-72"
3/17/2016,Gonzaga,Seton Hall,"W, 68-52"
3/18/2016,Middle Tennessee,Michigan St.,"W, 90-81"
3/18/2016,Saint Joseph's,Cincinnati,"W, 78-76"
3/18/2016,Villanova,UNC Asheville,"W, 86-56"
3/18/2016,Northern Iowa,Texas,"W, 75-72"
3/18/2016,Oklahoma,Cal St. Bakersfield,"W, 82-68"
3/18/2016,Oregon,Holy Cross,"W, 91-52"
3/18/2016,Maryland,South Dakota St.,"W, 79-74"
3/18/2016,Syracuse,Dayton,"W, 70-51"
3/18/2016,VCU,Oregon St.,"W, 75-67"
3/18/2016,Hawaii,California,"W, 77-66"
3/18/2016,Notre Dame,Michigan,"W, 70-63"
3/18/2016,Xavier,Weber St.,"W, 71-53"
3/18/2016,Iowa,Temple,"W, 72-70"
3/18/2016,Texas A&M,Green Bay,"W, 92-65"
3/18/2016,Stephen F. Austin,West Virginia,"W, 70-56"
3/18/2016,Wisconsin,Pittsburgh,"W, 47-43"
3/19/2016,Gonzaga,Utah,"W, 82-59"
3/19/2016,Iowa St.,Arkansas Little Rock,"W, 78-61"
3/19/2016,Duke,Yale,"W, 71-64"
3/19/2016,North Carolina,Providence,"W, 85-66"
3/19/2016,Virginia,Butler,"W, 77-69"
3/19/2016,Kansas,Connecticut,"W, 73-61"
3/19/2016,Miami FL,Wichita St.,"W, 65-57"
3/19/2016,Indiana,Kentucky,"W, 73-67"
3/20/2016,Villanova,Iowa,"W, 87-68"
3/20/2016,Notre Dame,Stephen F. Austin,"W, 76-75"
3/20/2016,Oklahoma,VCU,"W, 85-81"
3/20/2016,Syracuse,Middle Tennessee,"W, 75-50"
3/20/2016,Texas A&M,Northern Iowa,"W, 92-88"
3/20/2016,Maryland,Hawaii,"W, 73-60"
3/20/2016,Oregon,Saint Joseph's,"W, 69-64"
3/20/2016,Wisconsin,Xavier,"W, 66-63"
3/24/2016,Villanova,Miami FL,"W, 92-69"
3/24/2016,Oregon,Duke,"W, 82-68"
3/24/2016,Oklahoma,Texas A&M,"W, 77-63"
3/24/2016,Kansas,Maryland,"W, 79-63"
3/25/2016,North Carolina,Indiana,"W, 101-86"
3/25/2016,Virginia,Iowa St.,"W, 84-71"
3/25/2016,Syracuse,Gonzaga,"W, 63-60"
3/25/2016,Notre Dame,Wisconsin,"W, 61-56"
3/26/2016,Oklahoma,Oregon,"W, 80-68"
3/26/2016,Villanova,Kansas,"W, 64-59"
3/27/2016,North Carolina,Notre Dame,"W, 88-74"
3/27/2016,Syracuse,Virginia,"W, 68-62"
4/2/2016,Villanova,Oklahoma,"W, 95-51"
4/2/2016,North Carolina,Syracuse,"W, 83-66"
4/4/2016,Villanova,North Carolina,"W, 77-74"
