3/19/2013,Saint Mary's,Middle Tennessee,"W, 67-54"
3/19/2013,North Carolina A&T,Liberty,"W, 73-72"
3/20/2013,La Salle,Boise St.,"W, 80-71"
3/20/2013,James Madison,LIU Brooklyn,"W, 68-55"
3/21/2013,VCU,Akron,"W, 88-42"
3/21/2013,Colorado St.,Missouri,"W, 84-72"
3/21/2013,Arizona,Belmont,"W, 81-64"
3/21/2013,Harvard,New Mexico,"W, 68-62"
3/21/2013,Louisville,North Carolina A&T,"W, 79-48"
3/21/2013,Michigan St.,Valparaiso,"W, 65-54"
3/21/2013,Syracuse,Montana,"W, 81-34"
3/21/2013,Wichita St.,Pittsburgh,"W, 73-55"
3/21/2013,Michigan,South Dakota St.,"W, 71-56"
3/21/2013,Oregon,Oklahoma St.,"W, 68-55"
3/21/2013,Butler,Bucknell,"W, 68-56"
3/21/2013,Gonzaga,Southern,"W, 64-58"
3/21/2013,Saint Louis,New Mexico St.,"W, 64-44"
3/21/2013,California,UNLV,"W, 64-61"
3/21/2013,Marquette,Davidson,"W, 59-58"
3/21/2013,Memphis,Saint Mary's,"W, 54-52"
3/22/2013,Indiana,James Madison,"W, 83-62"
3/22/2013,Temple,North Carolina St.,"W, 76-72"
3/22/2013,Minnesota,UCLA,"W, 83-63"
3/22/2013,La Salle,Kansas St.,"W, 63-61"
3/22/2013,North Carolina,Villanova,"W, 78-71"
3/22/2013,Duke,Albany,"W, 73-61"
3/22/2013,Miami FL,Pacific,"W, 78-49"
3/22/2013,Florida Gulf Coast,Georgetown,"W, 78-68"
3/22/2013,Creighton,Cincinnati,"W, 67-63"
3/22/2013,Iowa St.,Notre Dame,"W, 76-58"
3/22/2013,Florida,Northwestern St.,"W, 79-47"
3/22/2013,Ohio St.,Iona,"W, 95-70"
3/22/2013,San Diego St.,Oklahoma,"W, 70-55"
3/22/2013,Mississippi,Wisconsin,"W, 57-46"
3/22/2013,Illinois,Colorado,"W, 57-49"
3/22/2013,Kansas,Western Kentucky,"W, 64-57"
3/23/2013,Wichita St.,Gonzaga,"W, 76-70"
3/23/2013,Louisville,Colorado St.,"W, 82-56"
3/23/2013,Michigan,VCU,"W, 78-53"
3/23/2013,Oregon,Saint Louis,"W, 74-57"
3/23/2013,Arizona,Harvard,"W, 74-51"
3/23/2013,Marquette,Butler,"W, 74-72"
3/23/2013,Michigan St.,Memphis,"W, 70-48"
3/23/2013,Syracuse,California,"W, 66-60"
3/24/2013,Florida,Minnesota,"W, 78-64"
3/24/2013,Florida Gulf Coast,San Diego St.,"W, 81-71"
3/24/2013,Miami FL,Illinois,"W, 63-59"
3/24/2013,Ohio St.,Iowa St.,"W, 78-75"
3/24/2013,La Salle,Mississippi,"W, 76-74"
3/24/2013,Duke,Creighton,"W, 66-50"
3/24/2013,Kansas,North Carolina,"W, 70-58"
3/24/2013,Indiana,Temple,"W, 58-52"
3/28/2013,Marquette,Miami FL,"W, 71-61"
3/28/2013,Ohio St.,Arizona,"W, 73-70"
3/28/2013,Wichita St.,La Salle,"W, 72-58"
3/28/2013,Syracuse,Indiana,"W, 61-50"
3/29/2013,Louisville,Oregon,"W, 77-69"
3/29/2013,Michigan,Kansas,"W, 87-85"
3/29/2013,Duke,Michigan St.,"W, 71-61"
3/29/2013,Florida,Florida Gulf Coast,"W, 62-50"
3/30/2013,Wichita St.,Ohio St.,"W, 70-66"
3/30/2013,Syracuse,Marquette,"W, 55-39"
3/31/2013,Michigan,Florida,"W, 79-59"
3/31/2013,Louisville,Duke,"W, 85-63"
4/6/2013,Louisville,Wichita St.,"W, 72-68"
4/6/2013,Michigan,Syracuse,"W, 61-56"
4/8/2013,Louisville,Michigan,"W, 82-76"
