Datetime,Winner,Loser
2017-03-16 12:15:00,Notre Dame,Princeton
2017-03-16 12:40:00,Virginia,UNC Wilmington
2017-03-16 13:30:00,Butler,Winthrop
2017-03-16 14:00:00,Gonzaga,South Dakota St.
2017-03-16 14:45:00,West Virginia,Bucknell
2017-03-16 15:10:00,Florida,East Tennessee St.
2017-03-16 16:00:00,Middle Tennessee,Minnesota
2017-03-16 16:30:00,Northwestern,Vanderbilt
2017-03-16 18:50:00,Xavier,Maryland
2017-03-16 19:10:00,Villanova,Mount St. Mary's
2017-03-16 19:20:00,Saint Mary's,VCU
2017-03-16 19:27:00,Purdue,Vermont
2017-03-16 21:20:00,Florida St.,Florida Gulf Coast
2017-03-16 21:40:00,Wisconsin,Virginia Tech
2017-03-16 21:50:00,Arizona,North Dakota
2017-03-16 21:57:00,Iowa St.,Nevada
2017-03-17 12:15:00,Michigan,Oklahoma St.
2017-03-17 12:40:00,Baylor,New Mexico St.
2017-03-17 13:30:00,Arkansas,Seton Hall
2017-03-17 14:00:00,Oregon,Iona
2017-03-17 14:45:00,Louisville,Jacksonville St.
2017-03-17 15:10:00,USC,SMU
2017-03-17 16:00:00,North Carolina,Texas Southern
2017-03-17 16:30:00,Rhode Island,Creighton
2017-03-17 18:50:00,Kansas,UC Davis
2017-03-17 19:10:00,Wichita St.,Dayton
2017-03-17 19:20:00,Duke,Troy
2017-03-17 19:27:00,Cincinnati,Kansas St.
2017-03-17 21:20:00,Michigan St.,Miami FL
2017-03-17 21:40:00,Kentucky,Northern Kentucky
2017-03-17 21:50:00,South Carolina,Marquette
2017-03-17 21:57:00,UCLA,Kent St.
2017-03-18 12:10:00,West Virginia,Notre Dame
2017-03-18 14:40:00,Wisconsin,Villanova
2017-03-18 17:15:00,Gonzaga,Northwestern
2017-03-18 18:10:00,Xavier,Florida St.
2017-03-18 19:10:00,Butler,Middle Tennessee
2017-03-18 19:45:00,Arizona,Saint Mary's
2017-03-18 20:40:00,Florida,Virginia
2017-03-18 21:40:00,Purdue,Iowa St.
2017-03-19 12:10:00,Michigan,Louisville
2017-03-19 14:40:00,Kentucky,Wichita St.
2017-03-19 17:15:00,Kansas,Michigan St.
2017-03-19 18:10:00,North Carolina,Arkansas
2017-03-19 19:10:00,Oregon,Rhode Island
2017-03-19 19:45:00,Baylor,USC
2017-03-19 20:40:00,South Carolina,Duke
2017-03-19 21:40:00,UCLA,Cincinnati
2017-03-23 19:09:00,Oregon,Michigan
2017-03-23 19:39:00,Gonzaga,West Virginia
2017-03-23 21:39:00,Kansas,Purdue
2017-03-23 22:43:00,Xavier,Arizona
2017-03-24 19:09:00,North Carolina,Butler
2017-03-24 19:29:00,South Carolina,Baylor
2017-03-24 21:39:00,Kentucky,UCLA
2017-03-24 21:59:00,Florida,Wisconsin
2017-03-25 18:09:00,Gonzaga,Xavier
2017-03-25 20:49:00,Oregon,Kansas
2017-03-26 14:20:00,South Carolina,Florida
2017-03-26 17:05:00,North Carolina,Kentucky
2017-04-01 18:09:00,Gonzaga,South Carolina
2017-04-01 20:49:00,North Carolina,Oregon
2017-04-03 21:20:00,North Carolina,Gonzaga
