Datetime,Winner,Loser
2016-03-17 12:15:00,Duke,UNC Wilmington
2016-03-17 12:40:00,Butler,Texas Tech
2016-03-17 13:30:00,Connecticut,Colorado
2016-03-17 14:00:00,Iowa St.,Iona
2016-03-17 14:45:00,Yale,Baylor
2016-03-17 15:10:00,Virginia,Hampton
2016-03-17 16:00:00,Kansas,Austin Peay
2016-03-17 16:30:00,Arkansas Little Rock,Purdue
2016-03-17 18:50:00,Miami FL,Buffalo
2016-03-17 19:10:00,Indiana,Chattanooga
2016-03-17 19:20:00,North Carolina,Florida Gulf Coast
2016-03-17 19:27:00,Utah,Fresno St.
2016-03-17 21:20:00,Wichita St.,Arizona
2016-03-17 21:40:00,Kentucky,Stony Brook
2016-03-17 21:50:00,Providence,USC
2016-03-17 21:57:00,Gonzaga,Seton Hall
2016-03-18 12:15:00,Syracuse,Dayton
2016-03-18 12:40:00,Villanova,UNC Asheville
2016-03-18 13:30:00,VCU,Oregon St.
2016-03-18 14:00:00,Hawaii,California
2016-03-18 14:45:00,Middle Tennessee,Michigan St.
2016-03-18 15:10:00,Iowa,Temple
2016-03-18 16:00:00,Oklahoma,Cal St. Bakersfield
2016-03-18 16:30:00,Maryland,South Dakota St.
2016-03-18 18:50:00,Wisconsin,Pittsburgh
2016-03-18 19:10:00,Stephen F. Austin,West Virginia
2016-03-18 19:20:00,Texas A&M,Green Bay
2016-03-18 19:27:00,Oregon,Holy Cross
2016-03-18 21:20:00,Xavier,Weber St.
2016-03-18 21:50:00,Northern Iowa,Texas
2016-03-18 22:12:00,Notre Dame,Michigan
2016-03-18 22:15:00,Saint Joseph's,Cincinnati
2016-03-19 12:10:00,Miami FL,Wichita St.
2016-03-19 14:40:00,Duke,Yale
2016-03-19 17:15:00,Indiana,Kentucky
2016-03-19 18:10:00,Iowa St.,Arkansas Little Rock
2016-03-19 19:10:00,Virginia,Butler
2016-03-19 19:45:00,Kansas,Connecticut
2016-03-19 20:40:00,Gonzaga,Utah
2016-03-19 21:40:00,North Carolina,Providence
2016-03-20 12:10:00,Villanova,Iowa
2016-03-20 14:40:00,Notre Dame,Stephen F. Austin
2016-03-20 17:15:00,Oklahoma,VCU
2016-03-20 18:10:00,Syracuse,Middle Tennessee
2016-03-20 19:10:00,Maryland,Hawaii
2016-03-20 19:40:00,Texas A&M,Northern Iowa
2016-03-20 20:40:00,Wisconsin,Xavier
2016-03-20 21:40:00,Oregon,Saint Joseph's
2016-03-24 19:10:00,Villanova,Miami FL
2016-03-24 19:37:00,Oklahoma,Texas A&M
2016-03-24 21:40:00,Kansas,Maryland
2016-03-24 22:07:00,Oregon,Duke
2016-03-25 19:10:00,Virginia,Iowa St.
2016-03-25 19:27:00,Notre Dame,Wisconsin
2016-03-25 21:40:00,Syracuse,Gonzaga
2016-03-25 21:57:00,North Carolina,Indiana
2016-03-26 18:09:00,Oklahoma,Oregon
2016-03-26 20:49:00,Villanova,Kansas
2016-03-27 18:09:00,Syracuse,Virginia
2016-03-27 20:49:00,North Carolina,Notre Dame
2016-04-02 18:09:00,Villanova,Oklahoma
2016-04-02 20:49:00,North Carolina,Syracuse
2016-04-04 21:19:00,Villanova,North Carolina
