Datetime,Winner,Loser
2018-03-15 12:15:00,Rhode Island,Oklahoma
2018-03-15 12:40:00,Tennessee,Wright St.
2018-03-15 13:30:00,Gonzaga,UNC Greensboro
2018-03-15 14:00:00,Kansas,Penn
2018-03-15 14:45:00,Duke,Iona
2018-03-15 15:10:00,Loyola Chicago,Miami FL
2018-03-15 16:00:00,Ohio St.,South Dakota St.
2018-03-15 16:30:00,Seton Hall,North Carolina St.
2018-03-15 18:50:00,Villanova,Radford
2018-03-15 19:10:00,Kentucky,Davidson
2018-03-15 19:20:00,Houston,San Diego St.
2018-03-15 19:27:00,Texas Tech,Stephen F. Austin
2018-03-15 21:20:00,Alabama,Virginia Tech
2018-03-15 21:40:00,Buffalo,Arizona
2018-03-15 21:50:00,Michigan,Montana
2018-03-15 21:57:00,Florida,St. Bonaventure
2018-03-16 12:15:00,Texas A&M,Providence
2018-03-16 12:40:00,Purdue,Cal St. Fullerton
2018-03-16 13:30:00,Marshall,Wichita St.
2018-03-16 14:00:00,Cincinnati,Georgia St.
2018-03-16 14:45:00,North Carolina,Lipscomb
2018-03-16 15:10:00,Butler,Arkansas
2018-03-16 16:00:00,West Virginia,Murray St.
2018-03-16 16:30:00,Nevada,Texas
2018-03-16 18:50:00,Kansas St.,Creighton
2018-03-16 19:10:00,Michigan St.,Bucknell
2018-03-16 19:20:00,Xavier,Texas Southern
2018-03-16 19:27:00,Auburn,College of Charleston
2018-03-16 21:20:00,UMBC,Virginia
2018-03-16 21:40:00,Syracuse,TCU
2018-03-16 21:50:00,Florida St.,Missouri
2018-03-16 21:57:00,Clemson,New Mexico St.
2018-03-17 12:10:00,Villanova,Alabama
2018-03-17 14:40:00,Duke,Rhode Island
2018-03-17 17:15:00,Kentucky,Buffalo
2018-03-17 18:10:00,Loyola Chicago,Tennessee
2018-03-17 19:10:00,Kansas,Seton Hall
2018-03-17 19:45:00,Gonzaga,Ohio St.
2018-03-17 20:40:00,Texas Tech,Florida
2018-03-17 21:40:00,Michigan,Houston
2018-03-18 12:10:00,Purdue,Butler
2018-03-18 14:40:00,Syracuse,Michigan St.
2018-03-18 17:15:00,Texas A&M,North Carolina
2018-03-18 18:10:00,Nevada,Cincinnati
2018-03-18 19:10:00,Clemson,Auburn
2018-03-18 19:45:00,Kansas St.,UMBC
2018-03-18 20:40:00,Florida St.,Xavier
2018-03-18 21:40:00,West Virginia,Marshall
2018-03-22 19:07:00,Loyola Chicago,Nevada
2018-03-22 19:37:00,Michigan,Texas A&M
2018-03-22 21:45:00,Kansas St.,Kentucky
2018-03-22 22:07:00,Florida St.,Gonzaga
2018-03-23 19:07:00,Kansas,Clemson
2018-03-23 19:27:00,Villanova,West Virginia
2018-03-23 21:37:00,Duke,Syracuse
2018-03-23 21:57:00,Texas Tech,Purdue
2018-03-24 18:09:00,Loyola Chicago,Kansas St.
2018-03-24 20:49:00,Michigan,Florida St.
2018-03-25 14:20:00,Villanova,Texas Tech
2018-03-25 17:05:00,Kansas,Duke
2018-03-31 18:09:00,Michigan,Loyola Chicago
2018-03-31 20:49:00,Villanova,Kansas
2018-04-02 21:20:00,Villanova,Michigan
